BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,UNRESRICTED_STOCK,STOCK_UNIT,STOCK_SELL_VALUE,CURRENCY,MONTH,EXCHANGE_RATE,SELL_VALUE_THB
2023-12-31,CHINA-WAREHOUSE,MAT-0045,SCRAP,164,KG,211,CNY,2023-12,4.53,955.83
2023-12-31,CHINA-WAREHOUSE,MAT-0193,6024,0,KG,87666,CNY,2023-12,4.53,397126.98000000004
2023-12-31,CHINA-WAREHOUSE,MAT-0193,5755,70720,KG,414419,CNY,2023-12,4.53,1877318.07
2023-12-31,CHINA-WAREHOUSE,MAT-0193,3142,12240,KG,71726,CNY,2023-12,4.53,324918.78
2023-12-31,CHINA-WAREHOUSE,MAT-0193,6734,2720,KG,15939,CNY,2023-12,4.53,72203.67
2023-12-31,CHINA-WAREHOUSE,MAT-0311,SCRAP,4142,KG,25018,CNY,2023-12,4.53,113331.54000000001
2023-12-31,CHINA-WAREHOUSE,MAT-0374,5995C5416,1000,KG,6430,CNY,2023-12,4.53,29127.9
2023-12-31,CHINA-WAREHOUSE,MAT-0374,8466C2971,15125,KG,97254,CNY,2023-12,4.53,440560.62
2023-12-31,CHINA-WAREHOUSE,MAT-0374,8143C2373,32975,KG,212029,CNY,2023-12,4.53,960491.37
2023-12-31,CHINA-WAREHOUSE,MAT-0046,9532,15125,KG,97254,CNY,2023-12,4.53,440560.62
2023-12-31,CHINA-WAREHOUSE,MAT-0046,7952,21025,KG,135191,CNY,2023-12,4.53,612415.23
2023-12-31,CHINA-WAREHOUSE,MAT-0046,4374,2400,KG,15432,CNY,2023-12,4.53,69906.96
2023-12-31,CHINA-WAREHOUSE,MAT-0046,5785,22000,KG,141460,CNY,2023-12,4.53,640813.8
2023-12-31,CHINA-WAREHOUSE,MAT-0046,9155,49500,KG,318285,CNY,2023-12,4.53,1441831.05
2023-12-31,CHINA-WAREHOUSE,MAT-0046,9578,49500,KG,318285,CNY,2023-12,4.53,1441831.05
2023-12-31,CHINA-WAREHOUSE,MAT-0046,9275,24750,KG,159143,CNY,2023-12,4.53,720917.79
2023-12-31,CHINA-WAREHOUSE,MAT-0046,4895,24750,KG,159143,CNY,2023-12,4.53,720917.79
2023-12-31,CHINA-WAREHOUSE,MAT-0046,8398,24750,KG,159143,CNY,2023-12,4.53,720917.79
2023-12-31,CHINA-WAREHOUSE,MAT-0046,3129,73550,KG,472927,CNY,2023-12,4.53,2142359.31
2023-12-31,CHINA-WAREHOUSE,MAT-0046,4463,14850,KG,95486,CNY,2023-12,4.53,432551.58
2023-12-31,CHINA-WAREHOUSE,MAT-0046,1412,71025,KG,456691,CNY,2023-12,4.53,2068810.2300000002
2023-12-31,CHINA-WAREHOUSE,MAT-0046,1236,27500,KG,176825,CNY,2023-12,4.53,801017.25
2023-12-31,CHINA-WAREHOUSE,MAT-0046,5610,59075,KG,379852,CNY,2023-12,4.53,1720729.56
2023-12-31,CHINA-WAREHOUSE,MAT-0046,3126,35225,KG,226497,CNY,2023-12,4.53,1026031.41
2023-12-31,CHINA-WAREHOUSE,MAT-0046,7679,83875,KG,539316,CNY,2023-12,4.53,2443101.48
2023-12-31,CHINA-WAREHOUSE,MAT-0046,3347,53625,KG,344809,CNY,2023-12,4.53,1561984.77
2023-12-31,CHINA-WAREHOUSE,MAT-0046,2920,74250,KG,477428,CNY,2023-12,4.53,2162748.8400000003
2023-12-31,CHINA-WAREHOUSE,MAT-0046,9044,2575,KG,16557,CNY,2023-12,4.53,75003.21
2023-12-31,CHINA-WAREHOUSE,MAT-0046,6216,10975,KG,70569,CNY,2023-12,4.53,319677.57
2023-12-31,CHINA-WAREHOUSE,MAT-0046,2754,46750,KG,300603,CNY,2023-12,4.53,1361731.59
2023-12-31,CHINA-WAREHOUSE,MAT-0046,8648,13750,KG,88413,CNY,2023-12,4.53,400510.89
2023-12-31,CHINA-WAREHOUSE,MAT-0046,9511,24750,KG,159143,CNY,2023-12,4.53,720917.79
2023-12-31,CHINA-WAREHOUSE,MAT-0194,SCRAP,100,KG,314,CNY,2023-12,4.53,1422.42
2023-12-31,CHINA-WAREHOUSE,MAT-0257,SCRAP,5151,KG,10457,CNY,2023-12,4.53,47370.21
2023-12-31,CHINA-WAREHOUSE,MAT-0195,8366,9700,KG,47728,CNY,2023-12,4.53,216207.84000000003
2023-12-31,CHINA-WAREHOUSE,MAT-0195,7680,1200,KG,3768,CNY,2023-12,4.53,17069.04
2023-12-31,CHINA-WAREHOUSE,MAT-0195,8508,48100,KG,151034,CNY,2023-12,4.53,684184.02
2023-12-31,CHINA-WAREHOUSE,MAT-0195,6058,24750,KG,77715,CNY,2023-12,4.53,352048.95
2023-12-31,CHINA-WAREHOUSE,MAT-0195,8887,133300,KG,418562,CNY,2023-12,4.53,1896085.86
2023-12-31,CHINA-WAREHOUSE,MAT-0195,6938,44000,KG,138160,CNY,2023-12,4.53,625864.8
2023-12-31,CHINA-WAREHOUSE,MAT-0195,5314,49375,KG,155038,CNY,2023-12,4.53,702322.14
2023-12-31,CHINA-WAREHOUSE,MAT-0195,8293,24225,KG,76067,CNY,2023-12,4.53,344583.51
2023-12-31,CHINA-WAREHOUSE,MAT-0195,2156,15125,KG,47493,CNY,2023-12,4.53,215143.29
2023-12-31,CHINA-WAREHOUSE,MAT-0195,8759,54950,KG,172543,CNY,2023-12,4.53,781619.79
2023-12-31,CHINA-WAREHOUSE,MAT-0195,6259,49375,KG,155038,CNY,2023-12,4.53,702322.14
2023-12-31,CHINA-WAREHOUSE,MAT-0082,3959A,450,KG,3839,CNY,2023-12,4.53,17390.670000000002
2023-12-31,CHINA-WAREHOUSE,MAT-0082,5148A,1200,KG,10236,CNY,2023-12,4.53,46369.08
2023-12-31,CHINA-WAREHOUSE,MAT-0082,7082A,950,KG,8104,CNY,2023-12,4.53,36711.12
2023-12-31,CHINA-WAREHOUSE,MAT-0082,2284A,21225,KG,181049,CNY,2023-12,4.53,820151.9700000001
2023-12-31,CHINA-WAREHOUSE,MAT-0082,7764A,32500,KG,277225,CNY,2023-12,4.53,1255829.25
2023-12-31,CHINA-WAREHOUSE,MAT-0082,5718A,25000,KG,213250,CNY,2023-12,4.53,966022.5
2023-12-31,CHINA-WAREHOUSE,MAT-0082,7449A,2500,KG,21325,CNY,2023-12,4.53,96602.25
2023-12-31,CHINA-WAREHOUSE,MAT-0082,4475A,96250,KG,821013,CNY,2023-12,4.53,3719188.89
2023-12-31,CHINA-WAREHOUSE,MAT-0082,8172A,101250,KG,863663,CNY,2023-12,4.53,3912393.39
2023-12-31,CHINA-WAREHOUSE,MAT-0082,9329A,101150,KG,862810,CNY,2023-12,4.53,3908529.3000000003
2023-12-31,CHINA-WAREHOUSE,MAT-0082,5192A,18750,KG,159938,CNY,2023-12,4.53,724519.14
2023-12-31,CHINA-WAREHOUSE,MAT-0082,1944A,39925,KG,340560,CNY,2023-12,4.53,1542736.8
