MATERIAL_NAME,BATCH_NUMBER,PLANT_NAME,TOTAL_UNRESRICTED_STOCK_TON,TOTAL_STOCK_PER_MATERIAL_TON,PERCENTAGE_SHARE,MONTHS_IN_WAREHOUSE,SHELF_LIFE_IN_MONTH,EXPIRED,FIRST_MONTH_APPEAR,EXPIRE_MONTH,LAST_MONTH_SEEN,INVENTORY_STATUS,MONTH_NOTICE
MAT-0001,V1055A,CHINA-WAREHOUSE,688.5,20117.325,3.42,3,3,False,2024-05,2024-08-01,2024-07,ออกเมื่อ 2024-07,2024-05
MAT-0001,V1126A,CHINA-WAREHOUSE,167.9,20117.325,0.83,2,3,False,2023-12,2024-03-01,2024-01,ออกเมื่อ 2024-01,2023-12
MAT-0001,V1214A,CHINA-WAREHOUSE,258.0,20117.325,1.28,6,3,True,2024-07,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0001,V1821A,CHINA-WAREHOUSE,606.55,20117.325,3.02,6,3,True,2024-07,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0001,V2525A,CHINA-WAREHOUSE,39.0,20117.325,0.19,2,3,False,2024-04,2024-07-01,2024-05,ออกเมื่อ 2024-05,2024-04
MAT-0001,V2662A,CHINA-WAREHOUSE,254.925,20117.325,1.27,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V2774A,CHINA-WAREHOUSE,194.975,20117.325,0.97,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0001,V2786A,CHINA-WAREHOUSE,511.25,20117.325,2.54,3,3,False,2024-06,2024-09-01,2024-08,ออกเมื่อ 2024-08,2024-06
MAT-0001,V2803A,CHINA-WAREHOUSE,34.5,20117.325,0.17,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0001,V2917A,CHINA-WAREHOUSE,1.275,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V2989A,CHINA-WAREHOUSE,225.0,20117.325,1.12,3,3,False,2024-05,2024-08-01,2024-07,ออกเมื่อ 2024-07,2024-05
MAT-0001,V3011A,CHINA-WAREHOUSE,1.3,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V3022A,CHINA-WAREHOUSE,1.45,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V3121A,CHINA-WAREHOUSE,225.825,20117.325,1.12,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0001,V3182A,CHINA-WAREHOUSE,1646.4,20117.325,8.18,4,3,True,2024-01,2024-04-01,2024-04,ออกเมื่อ 2024-04,2024-01
MAT-0001,V3201A,CHINA-WAREHOUSE,520.55,20117.325,2.59,4,3,True,2024-04,2024-07-01,2024-07,ออกเมื่อ 2024-07,2024-04
MAT-0001,V3227A,CHINA-WAREHOUSE,219.15,20117.325,1.09,2,3,False,2024-11,2025-02-01,2024-12,ยังอยู่,2024-11
MAT-0001,V3239A,CHINA-WAREHOUSE,1117.55,20117.325,5.56,3,3,False,2024-05,2024-08-01,2024-07,ออกเมื่อ 2024-07,2024-05
MAT-0001,V3622A,CHINA-WAREHOUSE,784.325,20117.325,3.9,4,3,True,2024-07,2024-10-01,2024-10,ออกเมื่อ 2024-10,2024-07
MAT-0001,V4178A,CHINA-WAREHOUSE,1.425,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V4193A,CHINA-WAREHOUSE,27.125,20117.325,0.13,5,3,True,2023-12,2024-03-01,2024-04,ออกเมื่อ 2024-04,2023-12
MAT-0001,V4211A,CHINA-WAREHOUSE,1201.275,20117.325,5.97,3,3,False,2024-08,2024-11-01,2024-10,ออกเมื่อ 2024-10,2024-08
MAT-0001,V4407A,CHINA-WAREHOUSE,305.8,20117.325,1.52,2,3,False,2024-03,2024-06-01,2024-04,ออกเมื่อ 2024-04,2024-03
MAT-0001,V4612A,CHINA-WAREHOUSE,278.825,20117.325,1.39,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0001,V4634A,CHINA-WAREHOUSE,544.25,20117.325,2.71,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V4876A,CHINA-WAREHOUSE,627.85,20117.325,3.12,3,3,False,2024-09,2024-12-01,2024-11,ออกเมื่อ 2024-11,2024-09
MAT-0001,V4922A,CHINA-WAREHOUSE,1.35,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V5047A,CHINA-WAREHOUSE,1.3,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V5103A,CHINA-WAREHOUSE,928.2,20117.325,4.61,2,3,False,2024-04,2024-07-01,2024-05,ออกเมื่อ 2024-05,2024-04
MAT-0001,V5711A,CHINA-WAREHOUSE,1.375,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V5743A,CHINA-WAREHOUSE,1.325,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V5763A,CHINA-WAREHOUSE,130.5,20117.325,0.65,3,3,False,2024-09,2024-12-01,2024-11,ออกเมื่อ 2024-11,2024-09
MAT-0001,V5814A,CHINA-WAREHOUSE,152.9,20117.325,0.76,2,3,False,2024-03,2024-06-01,2024-04,ออกเมื่อ 2024-04,2024-03
MAT-0001,V5829A,CHINA-WAREHOUSE,581.9,20117.325,2.89,2,3,False,2024-07,2024-10-01,2024-08,ออกเมื่อ 2024-08,2024-07
MAT-0001,V5898A,CHINA-WAREHOUSE,1.5,20117.325,0.01,1,3,False,2024-06,2024-09-01,2024-06,ออกเมื่อ 2024-06,2024-06
MAT-0001,V5910A,CHINA-WAREHOUSE,680.15,20117.325,3.38,7,3,True,2024-01,2024-04-01,2024-07,ออกเมื่อ 2024-07,2024-01
MAT-0001,V6113A,CHINA-WAREHOUSE,40.5,20117.325,0.2,2,3,False,2024-04,2024-07-01,2024-05,ออกเมื่อ 2024-05,2024-04
MAT-0001,V6285A,CHINA-WAREHOUSE,322.4,20117.325,1.6,2,3,False,2023-12,2024-03-01,2024-01,ออกเมื่อ 2024-01,2023-12
MAT-0001,V6573A,CHINA-WAREHOUSE,1.45,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V6661A,CHINA-WAREHOUSE,234.0,20117.325,1.16,4,3,True,2024-07,2024-10-01,2024-11,ออกเมื่อ 2024-11,2024-07
MAT-0001,V6880A,CHINA-WAREHOUSE,1.425,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V6964A,CHINA-WAREHOUSE,341.85,20117.325,1.7,2,3,False,2023-12,2024-03-01,2024-01,ออกเมื่อ 2024-01,2023-12
MAT-0001,V7059A,CHINA-WAREHOUSE,716.45,20117.325,3.56,2,3,False,2024-07,2024-10-01,2024-08,ออกเมื่อ 2024-08,2024-07
MAT-0001,V7533A,CHINA-WAREHOUSE,578.5,20117.325,2.88,5,3,True,2024-01,2024-04-01,2024-05,ออกเมื่อ 2024-05,2024-01
MAT-0001,V7566A,CHINA-WAREHOUSE,3.0,20117.325,0.01,2,3,False,2024-11,2025-02-01,2024-12,ยังอยู่,2024-11
MAT-0001,V7687A,CHINA-WAREHOUSE,1.25,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V7718A,CHINA-WAREHOUSE,1.425,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V7737A,CHINA-WAREHOUSE,291.9,20117.325,1.45,3,3,False,2024-08,2024-11-01,2024-10,ออกเมื่อ 2024-10,2024-08
MAT-0001,V8027A,CHINA-WAREHOUSE,72.0,20117.325,0.36,2,3,False,2024-07,2024-10-01,2024-08,ออกเมื่อ 2024-08,2024-07
MAT-0001,V8111A,CHINA-WAREHOUSE,0.725,20117.325,0.0,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V8150A,CHINA-WAREHOUSE,324.0,20117.325,1.61,4,3,True,2024-01,2024-04-01,2024-04,ออกเมื่อ 2024-04,2024-01
MAT-0001,V8378A,CHINA-WAREHOUSE,0.575,20117.325,0.0,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V8768A,CHINA-WAREHOUSE,839.325,20117.325,4.17,4,3,True,2024-08,2024-11-01,2024-11,ออกเมื่อ 2024-11,2024-08
MAT-0001,V8818A,CHINA-WAREHOUSE,644.7,20117.325,3.2,3,3,False,2023-12,2024-03-01,2024-02,ออกเมื่อ 2024-02,2023-12
MAT-0001,V9040A,CHINA-WAREHOUSE,890.7,20117.325,4.43,3,3,False,2024-01,2024-04-01,2024-03,ออกเมื่อ 2024-03,2024-01
MAT-0001,V9091A,CHINA-WAREHOUSE,1.375,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V9135A,CHINA-WAREHOUSE,254.875,20117.325,1.27,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V9246A,CHINA-WAREHOUSE,1.425,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V9422A,CHINA-WAREHOUSE,796.125,20117.325,3.96,3,3,False,2024-01,2024-04-01,2024-03,ออกเมื่อ 2024-03,2024-01
MAT-0001,V9426A,CHINA-WAREHOUSE,1.4,20117.325,0.01,1,3,False,2023-12,2024-03-01,2023-12,ออกเมื่อ 2023-12,2023-12
MAT-0001,V9468A,CHINA-WAREHOUSE,2.0,20117.325,0.01,2,3,False,2023-12,2024-03-01,2024-01,ออกเมื่อ 2024-01,2023-12
MAT-0001,V9551A,CHINA-WAREHOUSE,528.975,20117.325,2.63,3,3,False,2024-05,2024-08-01,2024-07,ออกเมื่อ 2024-07,2024-05
MAT-0001,V9872A,CHINA-WAREHOUSE,259.5,20117.325,1.29,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0002,N2130A,CHINA-WAREHOUSE,321.75,1821.7,17.66,5,8,False,2024-04,2024-12-01,2024-08,ออกเมื่อ 2024-08,2024-09
MAT-0002,N2588A,CHINA-WAREHOUSE,253.0,1821.7,13.89,4,8,False,2024-05,2025-01-01,2024-08,ออกเมื่อ 2024-08,2024-10
MAT-0002,N2666A,CHINA-WAREHOUSE,418.05,1821.7,22.95,8,8,False,2024-05,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0002,N3473A,CHINA-WAREHOUSE,99.0,1821.7,5.43,4,8,False,2024-05,2025-01-01,2024-08,ออกเมื่อ 2024-08,2024-10
MAT-0002,N3861A,CHINA-WAREHOUSE,44.0,1821.7,2.42,4,8,False,2024-05,2025-01-01,2024-08,ออกเมื่อ 2024-08,2024-10
MAT-0002,N4284A,CHINA-WAREHOUSE,123.75,1821.7,6.79,5,8,False,2024-04,2024-12-01,2024-08,ออกเมื่อ 2024-08,2024-09
MAT-0002,N5378A,CHINA-WAREHOUSE,19.25,1821.7,1.06,7,8,False,2024-05,2025-01-01,2024-11,ออกเมื่อ 2024-11,2024-10
MAT-0002,N5383A,CHINA-WAREHOUSE,198.0,1821.7,10.87,4,8,False,2024-05,2025-01-01,2024-08,ออกเมื่อ 2024-08,2024-10
MAT-0002,N7330A,CHINA-WAREHOUSE,335.5,1821.7,18.42,5,8,False,2024-04,2024-12-01,2024-08,ออกเมื่อ 2024-08,2024-09
