MATERIAL_NAME,BATCH_NUMBER,PLANT_NAME,TOTAL_UNRESRICTED_STOCK_TON,TOTAL_STOCK_PER_MATERIAL_TON,PERCENTAGE_SHARE,MONTHS_IN_WAREHOUSE,SHELF_LIFE_IN_MONTH,EXPIRED,FIRST_MONTH_APPEAR,EXPIRE_MONTH,LAST_MONTH_SEEN,INVENTORY_STATUS,MONTH_NOTICE
MAT-0001,V1214A,CHINA-WAREHOUSE,258.0,20117.325,1.28,6,3,True,2024-07,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0001,V1821A,CHINA-WAREHOUSE,606.55,20117.325,3.02,6,3,True,2024-07,2024-10-01,2024-12,ยังอยู่,2024-07
MAT-0001,V2774A,CHINA-WAREHOUSE,194.975,20117.325,0.97,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0001,V2803A,CHINA-WAREHOUSE,34.5,20117.325,0.17,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0001,V3121A,CHINA-WAREHOUSE,225.825,20117.325,1.12,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0001,V3227A,CHINA-WAREHOUSE,219.15,20117.325,1.09,2,3,False,2024-11,2025-02-01,2024-12,ยังอยู่,2024-11
MAT-0001,V4612A,CHINA-WAREHOUSE,278.825,20117.325,1.39,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0001,V7566A,CHINA-WAREHOUSE,3.0,20117.325,0.01,2,3,False,2024-11,2025-02-01,2024-12,ยังอยู่,2024-11
MAT-0001,V9872A,CHINA-WAREHOUSE,259.5,20117.325,1.29,1,3,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0002,N2666A,CHINA-WAREHOUSE,418.05,1821.7,22.95,8,8,False,2024-05,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0003,3466,CHINA-WAREHOUSE,117.504,1233.52,9.53,3,2,True,2024-06,2024-08-01,2024-12,ยังอยู่,2024-05
MAT-0003,4443,CHINA-WAREHOUSE,7.344,1233.52,0.6,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0003,5422,CHINA-WAREHOUSE,117.504,1233.52,9.53,2,2,False,2024-07,2024-09-01,2024-12,ยังอยู่,2024-06
MAT-0003,5541,CHINA-WAREHOUSE,12.24,1233.52,0.99,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0005,L1883A,SINGAPORE-WAREHOUSE,49.5,123.025,40.24,13,5,True,2023-12,2024-05-01,2024-12,ยังอยู่,2024-02
MAT-0007,1944A7171,SINGAPORE-WAREHOUSE,24.75,8376.9,0.3,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,2962A3535,CHINA-WAREHOUSE,63.25,8376.9,0.76,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,3280A6855,SINGAPORE-WAREHOUSE,16.5,8376.9,0.2,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,3724A7129,CHINA-WAREHOUSE,49.5,8376.9,0.59,2,2,False,2024-11,2025-01-01,2024-12,ยังอยู่,2024-10
MAT-0007,3862A3072,CHINA-WAREHOUSE,15.125,8376.9,0.18,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,4516A8258,CHINA-WAREHOUSE,13.75,8376.9,0.16,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
MAT-0007,4561A4184,CHINA-WAREHOUSE,26.125,8376.9,0.31,1,2,False,2024-12,2025-03-01,2024-12,ยังอยู่,2024-12
