Warehouse,Date,Total_Cap (KT),Predicted_Outbound (KT),Predicted_Inventory (KT)
CHINA-WAREHOUSE,2024-01-01,58.0,22.6,40.0
CHINA-WAREHOUSE,2024-02-01,70.0,21.7,37.0
CHINA-WAREHOUSE,2024-03-01,70.0,22.0,35.0
CHINA-WAREHOUSE,2024-04-01,70.0,23.1,36.0
CHINA-WAREHOUSE,2024-05-01,70.0,26.7,36.0
CHINA-WAREHOUSE,2024-06-01,70.0,21.9,41.0
CHINA-WAREHOUSE,2024-07-01,70.0,36.2,44.0
CHINA-WAREHOUSE,2024-08-01,70.0,22.9,42.0
CHINA-WAREHOUSE,2024-09-01,70.0,26.4,42.0
CHINA-WAREHOUSE,2024-10-01,70.0,28.6,42.0
CHINA-WAREHOUSE,2024-11-01,70.0,21.1,40.0
CHINA-WAREHOUSE,2024-12-01,70.0,21.8,15.0
SINGAPORE-WAREHOUSE,2024-01-01,53.5,8.708787,39.581
SINGAPORE-WAREHOUSE,2024-02-01,53.5,10.951814,36.763
SINGAPORE-WAREHOUSE,2024-03-01,53.5,9.36,35.049
SINGAPORE-WAREHOUSE,2024-04-01,53.5,7.519,35.663
SINGAPORE-WAREHOUSE,2024-05-01,53.5,10.737,36.374
SINGAPORE-WAREHOUSE,2024-06-01,53.5,9.435,40.5
SINGAPORE-WAREHOUSE,2024-07-01,53.5,11.384,44.288
SINGAPORE-WAREHOUSE,2024-08-01,53.5,11.332,41.769
SINGAPORE-WAREHOUSE,2024-09-01,53.5,16.7,41.735
SINGAPORE-WAREHOUSE,2024-10-01,53.5,20.976814,41.849
SINGAPORE-WAREHOUSE,2024-11-01,53.5,16.473975,40.327
SINGAPORE-WAREHOUSE,2024-12-01,48.0,13.96795,15.37505
