DATE,PLANT_NAME,MATERIAL_NAME,NET_QUANTITY_KT_INBOUND
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0304,0.0025
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0304,0.02
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0374,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0374,0.020625
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0374,0.004125
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0109,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0109,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0109,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0109,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0109,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-03-01,SINGAPORE-WAREHOUSE,MAT-0237,0.024772
2024-03-01,SINGAPORE-WAREHOUSE,MAT-0237,0.024772
2024-04-01,SINGAPORE-WAREHOUSE,MAT-0263,0.02475
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0175,0.02475
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0175,0.0165
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0175,0.00825
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0175,0.02475
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0175,0.02475
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0011,0.02475
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0011,0.004125
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0011,0.020625
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0011,0.009625
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0011,0.015125
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0011,0.02475
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0011,0.02475
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0011,0.02475
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0367,0.02475
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0367,0.0165
2024-05-01,SINGAPORE-WAREHOUSE,MAT-0367,0.00825
2024-06-01,SINGAPORE-WAREHOUSE,MAT-0374,0.009625
2024-06-01,SINGAPORE-WAREHOUSE,MAT-0374,0.015125
2024-06-01,SINGAPORE-WAREHOUSE,MAT-0374,0.015125
2024-06-01,SINGAPORE-WAREHOUSE,MAT-0374,0.009625
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0247,0.004125
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0247,0.020625
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0234,0.02475
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0234,0.02475
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0234,0.02475
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0234,0.02475
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0234,0.0165
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0234,0.00825
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0234,0.02475
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0234,0.02475
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0234,0.02475
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0234,0.011
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0234,0.01375
2024-07-01,SINGAPORE-WAREHOUSE,MAT-0234,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0335,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0335,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0335,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0335,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0363,0.01925
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0363,0.0055
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0363,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0363,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0363,0.01925
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0363,0.0055
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0046,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0046,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0046,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0046,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0175,0.006875
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0175,0.017875
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0175,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0175,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0175,0.006875
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0175,0.017875
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0175,0.02475
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0392,0.0165
2024-08-01,SINGAPORE-WAREHOUSE,MAT-0392,0.0055
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0116,0.009625
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0116,0.015125
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0116,0.02475
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0116,0.02475
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0085,0.02475
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0424,0.02475
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0424,0.02475
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0424,0.02475
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0244,0.00825
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0244,0.0165
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0244,0.02475
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0244,0.02475
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0244,0.02475
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0244,0.02475
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0244,0.02475
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0244,0.015125
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0244,0.009625
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0244,0.017875
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0244,0.006875
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0244,0.02475
2024-09-01,SINGAPORE-WAREHOUSE,MAT-0244,0.02475
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0099,0.02475
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0099,0.02475
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0099,0.02475
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0099,0.02475
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0099,0.015125
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0099,0.009625
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0099,0.0055
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0099,0.01925
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0171,0.02475
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0171,0.02475
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0171,0.02475
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0171,0.01375
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0171,0.011
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0171,0.02475
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0171,0.02475
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0171,0.02475
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0171,0.01375
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0171,0.011
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0171,0.02475
2024-10-01,SINGAPORE-WAREHOUSE,MAT-0171,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0366,0.0225
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0302,0.00825
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0302,0.0165
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0302,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0302,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0302,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.015125
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.009625
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0302,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.00225
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.01875
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.021
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.021
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.021
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.006
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.015
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.021
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.021
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.021
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.0015
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.0195
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.021
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.006
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.015
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.021
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.021
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.021
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.00675
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.01425
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.021
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.021
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.012
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.003
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.009
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.012
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.00675
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.00525
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.012
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.00075
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.01125
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.00675
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.00525
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.00825
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.00375
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.012
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.012
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.012
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.00225
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.00975
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.0045
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.0075
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0371,0.012
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.012375
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.012375
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.006875
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.017875
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.004125
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.020625
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.015125
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.009625
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0056,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0349,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0349,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0349,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0302,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0302,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0302,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0302,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0302,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0302,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0302,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0302,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.022
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.00275
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.02475
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.020625
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0247,0.004125
2024-02-01,SINGAPORE-WAREHOUSE,MAT-0302,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0210,0.011
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0210,0.01375
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0210,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0210,0.00825
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0210,0.0165
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0210,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0210,0.004125
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0210,0.020625
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0301,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0301,0.0055
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0301,0.01925
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0301,0.00275
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0301,0.022
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0037,0.02475
2024-01-01,SINGAPORE-WAREHOUSE,MAT-0273,0.02475
