BALANCE_AS_OF_DATE,PLANT_NAME,MATERIAL_NAME,BATCH_NUMBER,UNRESRICTED_STOCK_KT,STOCK_SELL_VALUE,CURRENCY,STOCK_SELL_VALUE_THB
2024-01-01,CHINA-WAREHOUSE,MAT-0045,SCRAP,0.000159,205,CNY,926.5999999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0193,6024,0.0,87666,CNY,396250.31999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0193,5755,0.03264,191270,CNY,864540.3999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0193,8726,0.04488,262997,CNY,1188746.44
2024-01-01,CHINA-WAREHOUSE,MAT-0193,6734,0.00272,15939,CNY,72044.28
2024-01-01,CHINA-WAREHOUSE,MAT-0193,9383,0.04488,262997,CNY,1188746.44
2024-01-01,CHINA-WAREHOUSE,MAT-0193,3738,0.06732,394495,CNY,1783117.4
2024-01-01,CHINA-WAREHOUSE,MAT-0311,SCRAP,0.005807,35074,CNY,158534.47999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0374,5995C5416,0.001,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0374,8143C2373,0.02335,0,CNY,0.0
2024-01-01,CHINA-WAREHOUSE,MAT-0046,9155,0.011,70730,CNY,319699.6
2024-01-01,CHINA-WAREHOUSE,MAT-0046,9578,0.0495,318285,CNY,1438648.2
2024-01-01,CHINA-WAREHOUSE,MAT-0046,3129,0.07355,472927,CNY,2137630.0399999996
2024-01-01,CHINA-WAREHOUSE,MAT-0046,4463,0.01485,95486,CNY,431596.72
2024-01-01,CHINA-WAREHOUSE,MAT-0046,1412,0.070825,455405,CNY,2058430.5999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0046,1236,0.0275,176825,CNY,799248.9999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0046,5610,0.059075,379852,CNY,1716931.0399999998
2024-01-01,CHINA-WAREHOUSE,MAT-0046,3126,0.035225,226497,CNY,1023766.44
2024-01-01,CHINA-WAREHOUSE,MAT-0046,7679,0.083875,539316,CNY,2437708.32
2024-01-01,CHINA-WAREHOUSE,MAT-0046,3347,0.053625,344809,CNY,1558536.68
2024-01-01,CHINA-WAREHOUSE,MAT-0046,2920,0.07425,477428,CNY,2157974.5599999996
2024-01-01,CHINA-WAREHOUSE,MAT-0046,9044,0.002575,16557,CNY,74837.64
2024-01-01,CHINA-WAREHOUSE,MAT-0046,6216,0.010975,70569,CNY,318971.87999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0046,2754,0.04675,300603,CNY,1358725.5599999998
2024-01-01,CHINA-WAREHOUSE,MAT-0046,8648,0.01375,88413,CNY,399626.75999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0046,9511,0.02475,159143,CNY,719326.36
2024-01-01,CHINA-WAREHOUSE,MAT-0046,4211,0.041925,269578,CNY,1218492.5599999998
2024-01-01,CHINA-WAREHOUSE,MAT-0046,2248,0.075625,486269,CNY,2197935.88
2024-01-01,CHINA-WAREHOUSE,MAT-0046,7253,0.064625,415539,CNY,1878236.2799999998
2024-01-01,CHINA-WAREHOUSE,MAT-0046,1986,0.0642,412806,CNY,1865883.1199999999
2024-01-01,CHINA-WAREHOUSE,MAT-0194,SCRAP,0.000194,608,CNY,2748.16
2024-01-01,CHINA-WAREHOUSE,MAT-0257,4157A,0.004775,9693,CNY,43812.35999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0257,SCRAP,0.005164,10482,CNY,47378.63999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0195,8366,0.015125,47493,CNY,214668.36
2024-01-01,CHINA-WAREHOUSE,MAT-0195,7680,0.0007,2198,CNY,9934.96
2024-01-01,CHINA-WAREHOUSE,MAT-0195,8508,0.048075,150956,CNY,682321.1199999999
2024-01-01,CHINA-WAREHOUSE,MAT-0195,6058,0.02475,77715,CNY,351271.8
2024-01-01,CHINA-WAREHOUSE,MAT-0195,8887,0.1333,418562,CNY,1891900.2399999998
2024-01-01,CHINA-WAREHOUSE,MAT-0195,6938,0.044,138160,CNY,624483.2
2024-01-01,CHINA-WAREHOUSE,MAT-0195,5314,0.049375,155038,CNY,700771.7599999999
2024-01-01,CHINA-WAREHOUSE,MAT-0195,8293,0.024225,76067,CNY,343822.83999999997
2024-01-01,CHINA-WAREHOUSE,MAT-0195,2156,0.015125,47493,CNY,214668.36
2024-01-01,CHINA-WAREHOUSE,MAT-0195,8759,0.05495,172543,CNY,779894.3599999999
2024-01-01,CHINA-WAREHOUSE,MAT-0195,6259,0.049375,155038,CNY,700771.7599999999
2024-01-01,CHINA-WAREHOUSE,MAT-0082,5148A,0.0012,10236,CNY,46266.719999999994
2024-01-01,CHINA-WAREHOUSE,MAT-0082,1944A,0.012425,105985,CNY,479052.19999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0082,2090A,0.025,213250,CNY,963889.9999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0082,9762A,0.105,895650,CNY,4048337.9999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0082,7599A,0.03,255900,CNY,1156668.0
2024-01-01,CHINA-WAREHOUSE,MAT-0082,7853A,0.0325,277225,CNY,1253056.9999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0082,9359A,0.088675,756398,CNY,3418918.9599999995
2024-01-01,CHINA-WAREHOUSE,MAT-0082,3782A,0.0675,575775,CNY,2602502.9999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0082,8111A,0.01125,95963,CNY,433752.75999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0047,3423A,0.035,298550,CNY,1349445.9999999998
2024-01-01,CHINA-WAREHOUSE,MAT-0047,8958A,0.00105,8957,CNY,40485.64
2024-01-01,CHINA-WAREHOUSE,MAT-0047,2945A,0.06615,564260,CNY,2550455.1999999997
2024-01-01,CHINA-WAREHOUSE,MAT-0047,4889A,0.0412,351436,CNY,1588490.7199999997
2024-01-01,CHINA-WAREHOUSE,MAT-0047,3314A,0.0025,21325,CNY,96388.99999999999
2024-01-01,CHINA-WAREHOUSE,MAT-0047,3532A,0.00125,10663,CNY,48196.759999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0047,6746A,0.06,511800,CNY,2313336.0
2024-01-01,CHINA-WAREHOUSE,MAT-0047,1825A,0.085,725050,CNY,3277225.9999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0047,4531A,0.10125,863663,CNY,3903756.76
2024-01-01,CHINA-WAREHOUSE,MAT-0047,7900A,0.1,853000,CNY,3855559.9999999995
2024-01-01,CHINA-WAREHOUSE,MAT-0047,9845A,0.09,767700,CNY,3470003.9999999995
