DATE,PLANT_NAME,MODE_OF_TRANSPORT,MATERIAL_NAME,CUSTOMER_NUMBER,NET_QUANTITY_KT_OUTBOUND
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00001,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0013,CST-00001,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0268,CST-00002,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0268,CST-00002,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0268,CST-00002,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0268,CST-00002,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0145,CST-00003,0.0255
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0428,CST-00004,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00005,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00005,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00005,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00006,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0229,CST-00007,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0415,CST-00006,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0321,CST-00008,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0325,CST-00009,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0325,CST-00009,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0340,CST-00010,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0084,CST-00011,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00011,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0319,CST-00012,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00013,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00014,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0015,CST-00015,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0112,CST-00016,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0318,CST-00017,0.02475
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,8e-05
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,0.00138
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,0.0013
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0316,CST-00018,0.022
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0266,CST-00019,0.009630000000000001
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0317,CST-00020,0.01375
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00005,0.01788
2024-01-01,CHINA-WAREHOUSE,Truck,MAT-0264,CST-00005,0.00688
